Number_Records,month,year
11299,3,2009
24169,4,2009
30346,5,2009
15921,6,2009
8776,7,2009
4560,8,2009
6292,9,2009
9966,10,2009
16115,11,2009
1529,12,2009
1228,1,2010
6579,2,2010
10731,3,2010
42701,4,2010
23337,5,2010
19369,6,2010
14057,7,2010
12848,8,2010
14844,9,2010
17810,10,2010
15888,11,2010
8407,12,2010
8442,1,2011
12071,2,2011
18497,3,2011
36277,4,2011
37658,5,2011
33548,6,2011
44575,7,2011
39788,8,2011
37941,9,2011
42073,10,2011
43194,11,2011
22742,12,2011
42778,1,2012
27212,2,2012
65953,3,2012
96480,4,2012
102182,5,2012
103865,6,2012
91839,7,2012
79721,8,2012
55250,9,2012
91801,10,2012
75561,11,2012
44497,12,2012
46404,1,2013
78856,2,2013
84104,3,2013
138014,4,2013
125293,5,2013
101565,6,2013
94817,7,2013
119481,8,2013
98854,9,2013
78990,10,2013
